order_id,first_name,last_name,email,cost,item_id,item_name
1,Marianne,Billison,mbillison0@usda.gov,80.82,0dffe46c-d94e-42d2-9c63-92b651009b48,Jeans
2,Beckie,Fussen,bfussen1@tripadvisor.com,72.58,84ad1caa-1ddc-45a4-b0c3-ffd75f65d613,Leggings
3,Berta,Haddinton,bhaddinton2@businessinsider.com,21.64,57352738-fe43-4dd7-8d45-ba6fba1c732a,Tank Top
4,Erminie,Northeast,enortheast3@livejournal.com,97.28,d4292ec3-571d-47ff-8ddc-3d73bbb40242,Leggings
5,Myrwyn,Fahy,mfahy4@omniture.com,26.77,aea7f3de-2593-42dd-a9a0-1bff3bebbbfa,V-Neck Pullover
6,Xymenes,Tournie,xtournie5@admin.ch,65.21,7f51f2cd-2b75-4e61-bb81-c77735ef1933,Fleece Jacket
7,Abbey,Giannasi,agiannasi6@google.de,50.81,fb5b6220-3b13-4eba-b6a5-52d4e1ddeba7,Polo Shirt
8,Charisse,Antcliffe,cantcliffe7@nydailynews.com,52.8,a7520aca-2870-498c-a328-03c7638f7afb,Vest
9,Pepillo,Lammertz,plammertz8@bloomberg.com,14.92,67c0be55-f4b2-4041-ba03-aa81e2dbfbbd,Sweater
10,Knox,Denniss,kdenniss9@comcast.net,16.33,01f08014-f070-4f14-ad44-664adbec45e4,Vest
11,Ber,Bohlin,bbohlina@webeden.co.uk,66.18,ee769fe4-df2c-4733-a46d-96c1098dcc3f,Tank Top
12,Maurise,Willisch,mwillischb@google.co.jp,54.82,3295bc5f-eeb1-4a1d-8a27-3cf65ae0f6a3,V-Neck Pullover
13,Maisie,Gauld,mgauldc@usda.gov,22.42,b5a15eae-bfb2-48af-bd86-8e3da707595d,Polo Shirt
14,Biron,Langtree,blangtreed@desdev.cn,39.62,abb73851-7dcf-4b95-8ceb-f6966065a57a,Ski Coat
15,Barb,Absolon,babsolone@nasa.gov,91.5,fdfcfe62-87a8-46ab-a3ee-7817d6a41f96,Ski Coat
16,Lorens,Robjant,lrobjantf@ovh.net,64.61,7d203b92-8b93-4ffe-a5c8-78d5e75d6e5f,V-Neck Pullover
17,Bobbee,Riggulsford,briggulsfordg@slashdot.org,26.78,9e173e66-779c-43b0-a525-ece4c72e4112,Leggings
18,Alia,Brunesco,abrunescoh@slate.com,79.03,fe9e76a2-e920-4f0d-86ce-f48816671758,Stretch Pants
19,Sigismond,Conneau,sconneaui@clickbank.net,18.07,a4d87e5f-80c8-4a11-bfc5-2ecc73c436b4,Vest
20,Rand,Kurth,rkurthj@mozilla.com,49.42,b4492688-3443-4c4c-b0e0-5913df71ae71,Sneakers
21,Obed,Daudray,odaudrayk@geocities.jp,43.07,5c68334c-a508-4f62-8112-d99b992d82c8,Fleece Jacket
22,Damara,Musson,dmussonl@lulu.com,41.3,9fd36337-a28d-4553-8608-c9eac616e28e,Stretch Pants
23,Leoline,Brobeck,lbrobeckm@ameblo.jp,92.53,9eac13ac-3c05-471a-a12e-241145b7c5f6,Ski Coat
24,Terence,Bruggen,tbruggenn@sina.com.cn,46.01,6a59c21b-8332-45d8-a9a8-9d28e30bbd25,Jeans
25,Jeana,Ghiroldi,jghiroldio@earthlink.net,40.97,bb4dd84c-ba7e-4abf-9e59-0100e3407245,Tank Top
26,Christophe,Wannes,cwannesp@vinaora.com,59.04,a9238579-8d4e-44a7-bccc-02d49dd3cbc0,Leggings
27,Isidor,Boribal,iboribalq@samsung.com,7.93,d5a0db21-dc8e-4866-82d8-0d6016398857,Tank Top
28,Frank,Knudsen,fknudsenr@constantcontact.com,15.06,050dbe21-93be-4b10-ae03-2b04626d1f6a,Vest
29,Pace,Silbert,psilberts@reverbnation.com,16.34,5b6d733a-5c7d-48da-8682-2dd148825e70,Jeans
30,Nickey,Bercher,nberchert@nsw.gov.au,72.48,2e2405b4-ec1b-441a-8225-6f6de08fb8cc,Tank Top
31,Brian,Westby,bwestbyu@phpbb.com,3.48,8c889bfc-99bc-48ce-ac1e-c7458f2140f6,Ski Coat
32,Arthur,Hellsdon,ahellsdonv@spotify.com,21.86,6766bc74-b33a-4ce0-90e2-99d8665852ff,Vest
33,Crosby,Bozward,cbozwardw@about.me,31.48,4f3f26b3-fab8-4a79-8db5-e9755db6e2e3,Ski Coat
34,Ave,Crick,acrickx@msn.com,47.91,c196e4f8-6023-43fd-b9d4-a05d280143bf,Polo Shirt
35,Faythe,Parcell,fparcelly@google.ru,25.93,5edd6015-3387-4a9a-ba62-0c9841c2e03f,Stretch Pants
36,Stephana,Daniell,sdaniellz@elegantthemes.com,83.47,e4bd725a-db8d-4775-b0eb-9ab1df74ddd5,Sweater
37,Geordie,Reisenstein,greisenstein10@ebay.co.uk,91.56,e324a008-12ba-4886-82d3-39ac7357796e,Ski Coat
38,Glyn,Cherrison,gcherrison11@unicef.org,77.21,af089718-c52b-42b9-a7eb-891fd33ef72b,Sneakers
39,Gordon,Goodreid,ggoodreid12@omniture.com,92.28,891baed9-23a2-46b5-84c9-ecbd7f14d222,V-Neck Pullover
40,Melly,Joire,mjoire13@wired.com,28.73,a630c36a-9647-40da-a884-6c8835ba970c,Stretch Pants
41,Dyna,Danilchev,ddanilchev14@parallels.com,45.53,c48de1e4-8642-4631-9f55-5257de83b049,Tank Top
42,Ralph,Lobley,rlobley15@hp.com,90.53,2db816ef-70f1-4d46-a0f6-bc1418b5e47b,Tank Top
43,Jeramie,Rand,jrand16@mapquest.com,52.72,97b9dabb-d604-49a7-96c2-9dbbd11c8719,Tank Top
44,Leeanne,Threadgold,lthreadgold17@go.com,97.53,0f6450f2-32a8-403e-921d-477e89100bf0,Jeans
45,Rubi,Gillani,rgillani18@dot.gov,89.73,77ed78c3-86e4-4cb2-a5fa-e4fb876661b9,Tank Top
46,Massimiliano,McTrustram,mmctrustram19@theguardian.com,92.11,be0bc7a3-96aa-4ebf-8971-0fe5db4b602b,Leggings
47,Leopold,Roadnight,lroadnight1a@fda.gov,87.99,7b5138fb-9de8-475e-afe5-835ce9923d25,Jeans
48,Gwenny,Costain,gcostain1b@oracle.com,26.24,ea2054b5-8e08-40b1-8433-7486effd1177,V-Neck Pullover
49,Robenia,O'Dowgaine,rodowgaine1c@cbc.ca,10.02,1165320c-4f7c-440f-8055-565c6655775c,Ski Coat
50,Del,Barham,dbarham1d@ibm.com,9.97,448a59a8-9bd9-418f-9ff5-caa00273b6b8,Sneakers
